,
Австралия,17ce9580-0390-4119-c8b1-e8c845e02161
Австрия,9c1ef91c-a0e2-4499-ed18-5ea64b06938a
Азербайджан,ba07e47c-0ce5-73a2-602a-a2e18bb0d45e
Алжир,e6916b8c-5fb2-83e7-11f7-feb435fda40c
Армения,8f019c84-30c2-1092-72e1-78909b678ae4
Великобритания,3486bc5f-1c97-b593-ea18-613ab4647021
Гвинея,5faf0607-b04c-4776-fd36-38e34e901bdc
Германия,ce942619-87f8-bfdc-4ec0-a149c2d13888
Греция,a633937f-484b-bace-ac67-71a668c22ea0
Грузия,88655495-3b8c-f56d-5337-0f2743a7bfed
Египет,592705d7-64e9-13b9-2b41-615bc300e4c8
Казахстан,253ca433-0ff2-93c3-889f-6e7a0824b13e
Катар,15b958b6-9127-965b-0117-edf398cd5220
Кипр,0fda9b2b-bcb6-2639-7f37-7f7fab9708c3
Латвия,868402fa-933a-4ef3-9fc0-5f7d7e1afd96
Ливан,50fe4bcf-86cf-3591-b3c6-931f116dd9f0
Литва,6d08554d-ec26-cbbc-2653-d8811cc16d69
Малайзия,e5e5ae41-2665-1f0e-926a-4df668e1b3dc
Мексика,493768a2-8b05-5e82-50e9-7ab9c6296528
Намибия,866c0820-79f0-5b6f-dc21-f21bff838152
Нидерланды,8e77f4b7-d541-3aeb-59f6-c19319372850
Объединенные Арабские Эмираты,92ce1a1f-6920-16dd-92d2-79e4437b85c2
Сейшельские Острова,4fbce84c-6f24-127a-99fd-6becdbcba60d
Сингапур,cb49f794-a8e4-9002-7d16-999463230ee6
Сирия,2987fdfc-15b4-d138-3c08-34ff9016fc08
США,feb5c602-1325-2704-d302-eb228cfbd2cb
Туркменистан,64798480-0aa4-8eec-f455-61d7179a5b17
Украина,06135386-aa14-3574-aa14-17a40a6b3e5e
Франция,87f7e23f-792f-6b4c-7967-863fecc38ee9
Швейцария,fac88941-3f90-5885-2075-2a3d9d4ebc0f
Швеция,3a045d48-1419-e4db-9e76-955f5d8d1fc8
Эстония,7310a366-2cd3-fa4a-5e4b-b412deb3fcfd
Южная Корея,72e56595-e172-8d6b-a018-bdd5df4e0328
